label,int_cnt,int_pct,comb_cnt,comb_pct
3. Good health,16792,57.29689152762138,17537,57.77682601390307
7. Clean energy,4911,16.757088750127956,5054,16.650742924916813
13. Climate action,4309,14.702971986214896,4382,14.43679372714394
2. Zero hunger,3669,12.519193366772443,3772,12.427107699403683
15. Life on land,2407,8.213054901559353,2437,8.028860409185254
14. Life underwater,1655,5.647115023714471,1669,5.498632754587685
11. Sustainability,1455,4.964684205138704,1496,4.928672618851514
16. Peace & justice,1424,4.85890742825946,1467,4.833130168352387
6. Clean water,1227,4.1867130719623304,1242,4.091852535169505
10. No inequality,1211,4.1321186064762685,1251,4.121503640496821
12. Responsible consumption,1064,3.6305319548230797,1099,3.6207294171910522
4. Education,807,2.7536083529532194,847,2.790498468026225
8. Economic growth,649,2.2144880062783634,679,2.237011168583007
1. No poverty,481,1.6412461186747194,503,1.657167331071064
9. Industry and infrastructure,341,1.1635445456716824,353,1.1629822422824763
5. Gender equality,171,0.5834783498822806,182,0.5996112410634863
