u,v,shared_hyperedges,deg_u,deg_v,deg_mean,score_debias,in_merge_zone,same_comb_comm
doi_dedup___::1e5b1f310b6b5b308bfc0b39647a8f28,doi_dedup___::7db9b1a4d32fca838cc31c06d35582e5,417,22,26,24.0,16.73363357892192,True,True
doi_dedup___::0115f94b4333945408cd9a9c7dea2963,doi_dedup___::634f88b8e1e558a67f133168a51ce3b3,197,16,15,15.5,11.9448795330394,True,True
doi_dedup___::2e5852452359d40380091d4bc4f0ce87,doi_dedup___::ab39650b755b1e2483d83046577ef305,163,12,15,13.5,11.302016498089044,True,False
doi_dedup___::a098462578dc48f1e2ebc9b2716fa43d,doi_dedup___::fcae2f51810d67254046fccf5e5e4fc5,259,29,17,23.0,11.145585407419123,True,True
doi_dedup___::0115f94b4333945408cd9a9c7dea2963,doi_dedup___::d4ce4e1a498158492903c91b2579b570,255,16,31,23.5,10.933034802834937,True,True
doi_dedup___::60d9195111755aa9a6a54291a925c07b,doi_dedup___::ab39650b755b1e2483d83046577ef305,211,25,15,20.0,10.345126128539208,True,False
doi_dedup___::ab39650b755b1e2483d83046577ef305,doi_dedup___::fa0263571c5584feb05d8c0be6b678ee,140,15,11,13.0,10.103629710818451,True,True
doi_dedup___::0c58cd50baa982c679eb5e2385786c03,pmid_dedup__::be0a86e42893eb93d5b332f7e76ddb84,144,13,14,13.5,9.936944054529901,True,True
doi_dedup___::0115f94b4333945408cd9a9c7dea2963,doi_dedup___::153f903e92f4151b1536a2c001120e2a,171,16,17,16.5,9.775419353123004,True,True
doi_dedup___::781388f411114f6774c35ffd5f84c499,doi_dedup___::baee45ee275b0fc1a3e17d20aad007d5,482,63,42,52.5,9.18803886253943,True,True
doi_dedup___::0115f94b4333945408cd9a9c7dea2963,doi_dedup___::59d4ec9ecfc5de196d10fa095be2b4f5,188,16,24,20.0,9.119339501366118,True,True
doi_dedup___::59d4ec9ecfc5de196d10fa095be2b4f5,doi_dedup___::fc499997c570e1c5c5b9b0d99de90b5b,170,24,13,18.5,9.086882225022428,True,True
doi_dedup___::1e5b1f310b6b5b308bfc0b39647a8f28,doi_dedup___::634f88b8e1e558a67f133168a51ce3b3,173,22,15,18.5,9.018248407968484,True,True
doi_dedup___::1e5b1f310b6b5b308bfc0b39647a8f28,doi_dedup___::fc499997c570e1c5c5b9b0d99de90b5b,160,22,13,17.5,8.916451401205645,True,True
