u,v,shared_hyperedges,score_debias,jaccard,topic,near_dup,l4_category,temporal,year_u,year_v,year_gap
doi_dedup___::1e5b1f310b6b5b308bfc0b39647a8f28,doi_dedup___::7db9b1a4d32fca838cc31c06d35582e5,417,16.73363357892192,0.2602996254681648,Diabetes / Cardiovascular,False,0302 clinical medicine,Parent–Parent (<2020),2015,2013,2
doi_dedup___::0115f94b4333945408cd9a9c7dea2963,doi_dedup___::634f88b8e1e558a67f133168a51ce3b3,197,11.9448795330394,0.16107931316434995,Diabetes / Cardiovascular,False,Missing L4 tag (title-confirmed same topic),Parent–Parent (<2020),2015,2012,3
doi_dedup___::2e5852452359d40380091d4bc4f0ce87,doi_dedup___::ab39650b755b1e2483d83046577ef305,163,11.302016498089044,0.3874458874458874,HEP / Particle Physics,False,0103 physical sciences,Parent–Parent (<2020),2015,2016,1
doi_dedup___::a098462578dc48f1e2ebc9b2716fa43d,doi_dedup___::fcae2f51810d67254046fccf5e5e4fc5,259,11.145585407419125,0.3825701624815362,Diabetes / Cardiovascular,False,Missing L4 tag (title-confirmed same topic),Parent–Parent (<2020),2014,2014,0
doi_dedup___::0115f94b4333945408cd9a9c7dea2963,doi_dedup___::d4ce4e1a498158492903c91b2579b570,255,10.933034802834936,0.13151108818978854,Diabetes / Cardiovascular,False,0302 clinical medicine,Parent–Parent (<2020),2015,2008,7
doi_dedup___::60d9195111755aa9a6a54291a925c07b,doi_dedup___::ab39650b755b1e2483d83046577ef305,211,10.345126128539208,0.32547864506627394,HEP / Particle Physics,False,0103 physical sciences,Parent–Parent (<2020),2017,2016,1
doi_dedup___::ab39650b755b1e2483d83046577ef305,doi_dedup___::fa0263571c5584feb05d8c0be6b678ee,140,10.103629710818453,0.29333333333333333,HEP / Particle Physics,False,0103 physical sciences,Parent–Parent (<2020),2016,2014,2
doi_dedup___::0c58cd50baa982c679eb5e2385786c03,pmid_dedup__::be0a86e42893eb93d5b332f7e76ddb84,144,9.9369440545299,0.935064935064935,Thyroid / Endocrine,True,Missing L4 tag (title-confirmed same topic),Recent–Recent (≥2020),2022,2022,0
doi_dedup___::0115f94b4333945408cd9a9c7dea2963,doi_dedup___::153f903e92f4151b1536a2c001120e2a,171,9.775419353123004,0.11784975878704342,Diabetes / Cardiovascular,False,Missing L4 tag (title-confirmed same topic),Parent–Parent (<2020),2015,2014,1
doi_dedup___::781388f411114f6774c35ffd5f84c499,doi_dedup___::baee45ee275b0fc1a3e17d20aad007d5,482,9.18803886253943,0.24411027568922306,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2010,2017,7
doi_dedup___::0115f94b4333945408cd9a9c7dea2963,doi_dedup___::59d4ec9ecfc5de196d10fa095be2b4f5,188,9.119339501366118,0.14296520423600606,Diabetes / Cardiovascular,False,0302 clinical medicine,Parent–Parent (<2020),2015,2018,3
doi_dedup___::59d4ec9ecfc5de196d10fa095be2b4f5,doi_dedup___::fc499997c570e1c5c5b9b0d99de90b5b,170,9.086882225022428,0.2138364779874214,Diabetes / Cardiovascular,False,0302 clinical medicine,Recent–Parent,2018,2021,3
doi_dedup___::1e5b1f310b6b5b308bfc0b39647a8f28,doi_dedup___::634f88b8e1e558a67f133168a51ce3b3,173,9.018248407968484,0.1313591495823842,Diabetes / Cardiovascular,False,Missing L4 tag (title-confirmed same topic),Parent–Parent (<2020),2015,2012,3
doi_dedup___::1e5b1f310b6b5b308bfc0b39647a8f28,doi_dedup___::fc499997c570e1c5c5b9b0d99de90b5b,160,8.916451401205645,0.14925373134328357,Diabetes / Cardiovascular,False,0302 clinical medicine,Recent–Parent,2015,2021,6
doi_dedup___::1e5b1f310b6b5b308bfc0b39647a8f28,doi_dedup___::d4ce4e1a498158492903c91b2579b570,239,8.809656880255103,0.1180246913580247,Diabetes / Cardiovascular,False,0302 clinical medicine,Parent–Parent (<2020),2015,2008,7
doi_dedup___::76cefde919ec60953ab7b58905ea11f9,pmid________::342454d16e75f3f103607764de0990f1,138,8.625,0.9459459459459459,Other,True,Missing L4 tag (title-confirmed same topic),Parent–Parent (<2020),2014,2014,0
doi_dedup___::781388f411114f6774c35ffd5f84c499,doi_dedup___::da5379a2ade787477315a548d4961fc6,345,8.149858949261462,0.17682926829268292,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2010,2011,1
doi_dedup___::59d4ec9ecfc5de196d10fa095be2b4f5,doi_dedup___::7db9b1a4d32fca838cc31c06d35582e5,198,7.6210235533030595,0.12813908564069543,Diabetes / Cardiovascular,False,0302 clinical medicine,Parent–Parent (<2020),2018,2013,5
doi_________::a6cb28e7426cb40184755453ef510e6e,doi_________::b696b01815a5c9607748a4963007a18b,1813,7.583252081813019,0.4873927038626609,HEP / Particle Physics,False,0103 physical sciences,Recent–Recent (≥2020),2022,2020,2
doi_dedup___::d5f1cc8dc04c4b96cd1707f757352ce3,pmid________::c480c3423a833237e351781729c3481f,166,7.545454545454546,0.9822485207100592,Thyroid / Endocrine,True,Missing L4 tag (title-confirmed same topic),Parent–Parent (<2020),2019,2019,0
doi_dedup___::5b217cbe80247309f1e109a2834996e4,doi_dedup___::7db9b1a4d32fca838cc31c06d35582e5,185,7.423794273622435,0.09783183500793231,Diabetes / Cardiovascular,False,0302 clinical medicine,Parent–Parent (<2020),2012,2013,1
doi_dedup___::6d3aa82d3a366a012572950fa65b5d2d,doi_dedup___::70e2f7891318f4b3fca853229c7fdd09,170,7.248824356090754,0.2609351432880845,Vascular,False,0302 clinical medicine,Parent–Parent (<2020),2017,2018,1
doi_dedup___::59d4ec9ecfc5de196d10fa095be2b4f5,doi_dedup___::85f6533f5313d25742d988584fe6e8fb,156,7.157770896761527,0.11040339702760085,Diabetes / Cardiovascular,False,0302 clinical medicine,Recent–Parent,2018,2020,2
doi_dedup___::878f346fe44e892c7827353356cde577,doi_dedup___::934e2b578958f0aff2be722674f70c2e,377,7.0717893125879145,0.33157431838170626,Oncology,False,0302 clinical medicine,Parent–Parent (<2020),2013,2015,2
doi_dedup___::1e5b1f310b6b5b308bfc0b39647a8f28,doi_dedup___::85f6533f5313d25742d988584fe6e8fb,145,6.936290661906628,0.08574807806031934,Diabetes / Cardiovascular,False,0302 clinical medicine,Recent–Parent,2015,2020,5
doi_dedup___::60d9195111755aa9a6a54291a925c07b,doi_dedup___::a4e876f2a29e682d9a666ae9b24ecbe7,154,6.928787568254052,0.17593643586833144,HEP / Particle Physics,False,0103 physical sciences,Parent–Parent (<2020),2017,2012,5
doi_dedup___::3ce5a4c27576240927a68b63468cc062,doi_dedup___::833a8e8a7712312bf4ebda3a78d22c7a,455,6.851601597031489,0.2449628844114528,GW / Astrophysics,False,0103 physical sciences,Recent–Recent (≥2020),2021,2023,2
doi_dedup___::60d9195111755aa9a6a54291a925c07b,doi_dedup___::a2cbb7edea6d568c67a7a2ff65a878e6,177,6.807692307692308,0.21394230769230768,HEP / Particle Physics,False,0103 physical sciences,Parent–Parent (<2020),2017,2013,4
doi_dedup___::153f903e92f4151b1536a2c001120e2a,doi_dedup___::1e5b1f310b6b5b308bfc0b39647a8f28,137,6.73318266440697,0.08810289389067524,Diabetes / Cardiovascular,False,Missing L4 tag (title-confirmed same topic),Parent–Parent (<2020),2014,2015,1
doi_dedup___::5b217cbe80247309f1e109a2834996e4,doi_dedup___::634f88b8e1e558a67f133168a51ce3b3,126,6.568204042797856,0.08866995073891626,Diabetes / Cardiovascular,False,Missing L4 tag (title-confirmed same topic),Parent–Parent (<2020),2012,2012,0
doi_dedup___::a4cf4e0afa56233822a02599c80a4e47,doi_dedup___::f36f4c1ca367e5b6f1b00a6497bc53e2,151,6.302618227029101,0.12510154346060115,Oncology,False,0301 basic medicine + 0302 clinical medicine,Parent–Parent (<2020),2016,2017,1
doi_dedup___::153f903e92f4151b1536a2c001120e2a,doi_dedup___::d4ce4e1a498158492903c91b2579b570,148,6.166666666666667,0.07551020408163266,Diabetes / Cardiovascular,False,Missing L4 tag (title-confirmed same topic),Parent–Parent (<2020),2014,2008,6
doi_dedup___::47d3f0a7bdedc1897768838fa4b25ce8,doi_dedup___::91c32a775030f57664c7cd6691dbd006,267,6.1497234200601305,0.18580375782881003,Rheumatology,False,0301 basic medicine + 0302 clinical medicine,Parent–Parent (<2020),2010,2002,8
