component_index,nodes,edges,is_dag,longest_simple_path_if_dag,condensation_longest_path_hops,condensation_longest_path_nodes,directed_diameter,avg_shortest_path_est,pairs_considered,method,comp_time_sec
1,34763,108423,True,54,54,55,13,2.828484361604887,704548,exact_parallel,31.1041
2,402,891,True,12,12,13,6,1.4548192771084338,2324,exact_parallel,0.6323
3,218,469,True,8,8,9,6,1.4512905911740217,1201,exact_parallel,0.3394
4,145,416,True,15,15,16,6,1.6530782029950084,1202,exact_parallel,0.2267
5,89,168,True,9,9,10,7,1.803370786516854,534,exact_parallel,0.1414
6,69,147,True,8,8,9,7,2.13884007029877,569,exact_parallel,0.0966
7,58,111,True,7,7,8,5,1.4966442953020134,298,exact_parallel,0.1005
8,55,135,True,9,9,10,4,1.3808049535603715,323,exact_parallel,0.08
9,48,149,True,7,7,8,5,1.394736842105263,342,exact_parallel,0.0713
10,48,82,True,7,7,8,4,1.2376237623762376,202,exact_parallel,0.093
11,44,89,True,6,6,7,4,1.21,200,exact_parallel,0.0639
12,41,119,True,11,11,12,5,1.6051136363636365,352,exact_parallel,0.0599
13,40,73,True,8,8,9,4,1.6547619047619047,252,exact_parallel,0.0621
14,37,58,True,6,6,7,4,1.2162162162162162,148,exact_parallel,0.0691
15,32,56,True,6,6,7,4,1.1925925925925926,135,exact_parallel,0.0479
16,31,75,True,9,9,10,3,1.2662721893491125,169,exact_parallel,0.0424
17,30,94,True,9,9,10,3,1.3695652173913044,230,exact_parallel,0.0423
18,30,76,True,8,8,9,4,1.398989898989899,198,exact_parallel,0.0591
19,28,112,True,14,14,15,4,1.3991596638655461,238,exact_parallel,0.0427
20,27,52,True,6,6,7,4,1.4485294117647058,136,exact_parallel,0.0441
21,27,75,True,7,7,8,4,1.177304964539007,141,exact_parallel,0.0372
22,26,43,True,4,4,5,3,0.9310344827586207,87,exact_parallel,0.0385
23,25,37,True,7,7,8,4,1.2718446601941749,103,exact_parallel,0.0777
24,24,45,True,5,5,6,3,1.043010752688172,93,exact_parallel,0.0344
25,24,54,True,7,7,8,4,1.5389610389610389,154,exact_parallel,0.0316
26,24,56,True,7,7,8,3,1.4654088050314464,159,exact_parallel,0.0376
27,24,41,True,4,4,5,3,0.9523809523809523,84,exact_parallel,0.0395
28,24,38,True,4,4,5,4,1.0909090909090908,88,exact_parallel,0.034
29,22,64,True,8,8,9,3,1.0940170940170941,117,exact_parallel,0.0413
30,22,50,True,6,6,7,4,1.4198473282442747,131,exact_parallel,0.0395
31,21,41,True,6,6,7,5,1.36,100,exact_parallel,0.0293
