component_index,nodes,edges,is_dag,longest_simple_path_if_dag,condensation_longest_path_hops,condensation_longest_path_nodes,directed_diameter,avg_shortest_path_est,pairs_considered,method,comp_time_sec
1,34858,109512,False,,51,67,16,3.1871725383920504,11070,sample_parallel(k=500),660.1018
2,404,922,False,,12,14,6,1.5707472178060413,2516,exact_parallel,0.8726
3,278,595,False,,8,11,6,1.5073388640714742,1567,exact_parallel,0.5581
4,214,567,False,,15,16,8,1.8884050081654873,1837,exact_parallel,0.5004
5,89,170,False,,7,11,7,1.8711985688729875,559,exact_parallel,0.1677
6,55,139,False,,8,10,4,1.4,335,exact_parallel,0.0644
7,48,86,False,,5,8,4,1.3037383177570094,214,exact_parallel,0.0485
8,48,149,True,7,7,8,5,1.394736842105263,342,exact_parallel,0.0499
9,44,89,True,6,6,7,4,1.21,200,exact_parallel,0.0905
10,41,120,True,11,11,12,5,1.6033994334277621,353,exact_parallel,0.1029
11,40,74,False,,8,9,4,1.6521739130434783,253,exact_parallel,0.0564
12,37,59,False,,6,7,4,1.230263157894737,152,exact_parallel,0.0248
13,32,56,True,6,6,7,4,1.1925925925925926,135,exact_parallel,0.0236
14,31,75,True,9,9,10,3,1.2662721893491125,169,exact_parallel,0.0271
15,30,76,True,8,8,9,4,1.398989898989899,198,exact_parallel,0.0259
16,30,96,True,10,10,11,3,1.38135593220339,236,exact_parallel,0.0232
17,28,113,True,14,14,15,4,1.397489539748954,239,exact_parallel,0.0286
18,27,75,True,7,7,8,4,1.177304964539007,141,exact_parallel,0.0242
19,27,52,True,6,6,7,4,1.4485294117647058,136,exact_parallel,0.0265
20,26,43,True,4,4,5,3,0.9310344827586207,87,exact_parallel,0.023
21,25,37,True,7,7,8,4,1.2718446601941749,103,exact_parallel,0.0239
22,24,38,True,4,4,5,4,1.0909090909090908,88,exact_parallel,0.0227
23,24,46,False,,5,6,3,1.0425531914893618,94,exact_parallel,0.0238
24,24,56,True,7,7,8,3,1.4654088050314464,159,exact_parallel,0.0233
25,24,41,True,4,4,5,3,0.9523809523809523,84,exact_parallel,0.0344
26,24,62,False,,5,11,4,1.6318681318681318,182,exact_parallel,0.0128
27,22,64,True,8,8,9,3,1.0940170940170941,117,exact_parallel,0.0122
28,22,54,False,,4,9,4,1.2975206611570247,121,exact_parallel,0.0125
29,22,35,True,6,6,7,5,1.575221238938053,113,exact_parallel,0.0117
30,22,50,True,6,6,7,4,1.4198473282442747,131,exact_parallel,0.0225
31,21,25,True,2,2,3,2,0.6326530612244898,49,exact_parallel,0.0125
32,21,44,True,4,4,5,2,0.7887323943661971,71,exact_parallel,0.034
33,21,41,True,6,6,7,5,1.36,100,exact_parallel,0.024
34,21,21,True,6,6,7,5,1.4285714285714286,70,exact_parallel,0.0138
35,20,72,True,11,11,12,4,1.536144578313253,166,exact_parallel,0.0228
36,20,31,True,4,4,5,4,1.0289855072463767,69,exact_parallel,0.027
37,20,30,False,,3,5,3,1.0294117647058822,68,exact_parallel,0.0239
38,20,36,True,3,3,4,3,0.7903225806451613,62,exact_parallel,0.0131
39,20,30,True,4,4,5,4,1.0298507462686568,67,exact_parallel,0.0229
40,20,30,True,4,4,5,4,1.1142857142857143,70,exact_parallel,0.0239
41,20,28,True,3,3,4,3,0.9692307692307692,65,exact_parallel,0.0236
42,19,21,True,3,3,4,3,1.0350877192982457,57,exact_parallel,0.0132
